STORE #,NAME,ADDRESS,CITY,POSTAL CODE,PHONE,FAX
2,Ashcroft,PO Box 368 301 - 3rd St,Ashcroft,V0K 1A0,250-453-2542,250-453-9507
3,Fort St John,10444 - 100th St,Fort St John,V1J 3Z1,250-787-3405,250-785-9038
5,Campbell River,270 - 1400 Dogwood St.,Campbell River,V9W 3A6,250-287-4516,250-287-7395
6,Semiahmoo,"#149, 1711 - 152nd Street",Surrey,V4A 4N3,604-542-3990,604-542-3992
7,Chilliwack,46040 Yale Rd,Chilliwack,V2P 7V2,604-795-8424,604-792-9904
8,Cumberland,PO Box 10 2700 Dunsmuir Ave,Cumberland,V0R 1S0,250-336-2242,250-336-8676
9,Cranbrook,#100-425 Victoria Ave. N,Cranbrook,V1C 6S3,250-426-1298,250-426-1398
10,Courtenay,1095 Cliffe Ave,Courtenay,V9N 2J9,250-334-1333,250-334-1394
12,Duncan,375 Trans Canada Hwy,Duncan,V9L 3R5,250-746-1323,250-746-8651
13,Fernie,PO Box 807 792 - 2nd Ave,Fernie,V0B 1M0,250-423-6006,250-423-7460
14,Greenwood,PO Box 339 272 S Copper Rd,Greenwood,V0H 1J0,250-445-6336,250-445-6779
15,Grand Forks,PO Box 130 451 Central Avenue,Grand Forks,V0H 1H0,250-442-5440,250-442-5841
16,Golden,PO Box 690 906 10th Ave South,Golden,V0A 1H0,250-344-7558,250-344-5829
17,Invermere,PO Box 67 510 - 13th St,Invermere,V0A 1K0,250-342-4292,250-342-0185
18,Kaslo,PO Box 460 410 Front St,Kaslo,V0G 1M0,250-353-2434,250-353-7501
19,Keremeos,PO Box 70 609 HWY 3,Keremeos,V0X 1N0,250-499-5812,250-499-2469
23,Lillooet,PO Box 429 155 Main St,Lillooet,V0K 1V0,250-256-4356,250-256-7389
24,Ladysmith,"Unit 7, 370 Trans Canada Hwy",Ladysmith,V9G 1T9,250-245-7359,250-245-8972
25,Ladner,5202 - 48th Ave,Ladner,V4K 1W4,604-946-2020,604-946-6082
26,McBride,"PO Box 39 100 Robson Ctr, Hwy 16",McBride,V0J 2E0,250-569-2385,250-569-3324
27,Mission,#207 - 32530 Lougheed Hwy,Mission,V2V 1A5,604-826-2541,604-826-6152
28,Sparwood,PO Box 285 117 Red Cedar Dr,Sparwood,V0B 2G0,250-425-6254,250-425-7859
29,Merritt,PO Box 264 #104 - 1700 Garcia St,Merritt,V1K 1B8,250-378-9384,250-378-6938
31,New Westminster,1075 Columbia St,New Westminster,V3M 1C4,604-660-8699,604-525-8273
32,Nelson,209 Anderson St,Nelson,V1L 3X8,250-354-6119,250-354-4586
33,Nanaimo Port Place,#115 - 650 South Terminal Ave Port Place Shopping Centre,Nanaimo,V9R 5E2,250-716-5205,250-716-5227
34,Qualicum,PO Box 730 706 Primrose St,Qualicum,V9K 1T2,250-752-9931,250-752-6987
35,Prince Rupert,100 2nd Ave W,Prince Rupert,V8J 1J8,250-624-7424,250-627-8395
37,Princeton,PO Box 159 130 Harold St,Princeton,V0X 1W0,250-295-6011,250-295-6841
38,Marpole,8495 Granville St,Vancouver,V6P 4Z9,604-266-5931,604-266-3314
40,Port Alberni,3764 - 10th Ave,Port Alberni,V9Y 4W6,250-724-9286,250-723-4263
41,Powell River,#91 - 7100 Alberni St,Powell River,V8A 5K9,604-485-6311,604-485-9852
42,Parksville,PO Box 129 319B East Island Hwy,Parksville,V9P 2G3,250-248-6531,250-248-7291
43,Quesnel,488 Reid St,Quesnel,V2J 2M6,250-992-4296,250-992-9286
44,Rossland,PO Box 760 2065 Columbia Ave,Rossland,V0G 1Y0,250-362-7532,250-362-9038
45,Revelstoke,PO Box 80 111 Campbell Ave,Revelstoke,V0E 2S0,250-837-7676,250-837-9618
46,Smithers,PO Box 727 1114 Queen St,Smithers,V0J 2N0,250-847-7408,250-847-3774
47,Stewart,PO Box 37 415 4th Ave,Stewart,V0T 1W0,250-636-2524,250-636-9054
48,Salmon Arm,PO Box 58 111 Lakeshore Dr,Salmon Arm,V1E 4N2,250-832-1668,250-832-9817
49,Enderby,PO Box 459 119 George St,Enderby,V0E 1V0,250-838-7308,250-838-6069
50,Sidney,2335 Beacon Ave,Sidney,V8L 1W9,250-656-3041,250-656-9837
51,Trail,1629 - 2nd Ave,Trail,V1R 1M3,250-364-0558,250-368-8926
52,Terrace,3240 Eby St,Terrace,V8G 5H4,250-635-5850,250-635-9730
53,Harbour Centre,555 W Hastings,Vancouver,V6B 4N5,604-660-4574,604-662-8284
55,Gold River,PO Box 430 375 Nimpkish Street,Gold River,V0P 1G0,250-283-2919,250-283-7796
59,Trafalgar Square,#8 - 7103 W Saanich Rd,Brentwood Bay,V8M 1R1,250-652-1212,250-652-6822
60,Cache Creek,PO Box 67 1360 Hwy 97 N,Cache Creek,V0K 1H0,250-457-6636,250-457-9681
63,Williams Lake,730-B Oliver St,Williams Lake,V2G 1N1,250-398-4218,250-392-4773
64,Agassiz,PO Box 130 7250 Pioneer Ave,Agassiz,V0M 1A0,604-796-2421,604-796-3407
65,Haney,300-22709 Lougheed Hwy,Maple Ridge,V2X 2V5,604-463-4509,604-463-6498
66,Kimberley,425 Mark St,Kimberley,V1A 2G7,250-427-2322,250-427-7369
67,Lake Cowichan,PO Box 588 93 Darnell Rd,Lake Cowichan,V0R 2G0,250-749-3424,250-749-4292
68,Esquimalt,1310 Esquimalt Rd,Victoria,V9A 3P6,250-952-4114,250-361-9419
69,Oliver,PO Box 128 5966 Main Street,Oliver,V0H 1T0,250-498-3611,250-498-6746
70,Cloverdale,#100 - 5630 176th St,Surrey,V3S 4T7,604-574-4452,604-574-3824
71,Hope,PO Box 460 770 - 5th Ave,Hope,V0X 1L0,604-869-5231,604-869-7673
72,Ambleside ,1434 Marine Drive,West Vancouver,V7T 1B7,604-981-0020,604-981-0025
73,Burns Lake,#8-117 Highway 35,Burns Lake,V0J 1E0,250-692-2258,250-692-7922
74,New Denver,"PO Box 8, 717 Josephine St",New Denver,V0G 1S0,250-358-2341,250-358-2477
75,Creston Valley Mall,PO Box 9 #2 - 1000 NW Blvd Mall,Creston,V0B 1G0,250-428-3250,250-428-7386
76,Richmond Brighouse,#100 - 8100 Ackroyd Rd,Richmond,V6X 3K2,604-278-2343,604-278-1430
77,Northgate,Unit 103 - 3433 North Rd.,Burnaby,V3J 0A9,604-664-0844,604-664-0846
78,Castlegar,Unit G 635 Columbia Avenue,Castlegar,V1N 1G9,250-365-8543,250-365-8588
79,Kamloops Columbia Place,#600 - 1210 Summit Dr,Kamloops,V2C 6M1,250-828-4319,250-374-2731
80,Gibsons,"#18-900 Gibsons Way, RR7",Gibsons,V0N 1V7,604-886-2013,604-886-8792
81,Vanderhoof,PO Box 156 2557 Burrard St,Vanderhoof,V0J 3A0,250-567-6310,250-567-2528
83,Osoyoos,PO Box 309 8110 Main Street,Osoyoos,V0H 1V0,250-495-7321,250-495-7684
86,Summerland,#2 - 13604 Victoria Rd N,Summerland,V0H 1Z0,250-494-3591,250-494-5082
88,Clearwater,PO Box 2541 74 Young St. Unit #1,Clearwater,V0E 1N2,250-674-3622,250-674-3879
89,Nicola Station,#140 - 1097 Nicola Ave,Port Coquitlam,V3B 8B2,604-464-3576,604-464-7436
90,Jericho Village,#101 - 2083 Alma St,Vancouver,V6R 4N6,604-224-9380,604-222-3796
91,Fraser Lake,PO Box 490 111 Chowsunket Ave,Fraser Lake,V0J 1S0,250-699-7717,250-699-8016
92,Sicamous,PO Box 188 309 Main Street,Sicamous,V0E 2V0,250-836-2218,250-836-4372
93,Madeira Park,"PO Box 128 Madeira Park Centre Mall
#1 - 12887 Madeira Park Rd.",Madeira Park,V0N 2H0,604-883-2737,604-883-2792
94,Bute Street,1155 Bute St,Vancouver,V6E 1Z7,604-660-4569,604-683-2537
95,Fruitvale,PO Box 785 1952 Columbia Garden Rd,Fruitvale,V0G 1L0,250-367-9112,250-367-9853
96,Valemount,PO Box 460 1163 - 5th Ave,Valemount,V0E 2Z0,250-566-4200,250-566-4148
97,Royal Square,800 McBride Blvd,New Westminster,V3L 2B8,604-660-8730,604-521-3957
98,Tsawwassen,1319 H 56th St,Delta,V4L 2A6,604-943-3322,604-943-7851
99,Houston,PO Box 69 3232 Hwy 16,Houston,V0J 1Z0,250-845-7444,250-845-7469
100,Wholesale Customer Centre (WCC),3100 East Broadway,Vancouver,V5M 1Z6,604-775-0681,604-252-3470
101,Pemberton,PO Box 46 1341 Aster Rd,Pemberton,V0N 2L0,604-894-6534,604-894-5496
102,Dunbar,3453 Dunbar St,Vancouver,V6S 2C3,604-224-4412,604-222-4973
105,Masset,PO Box 379 2072 Collison,Masset,V0T 1M0,250-626-5111,250-626-9318
106,Mackenzie,PO Box 550 403 MacKenzie Blvd,MacKenzie,V0J 2C0,250-997-3700,250-997-5308
107,Westview,#770 - 2601 Westview Drive,North Vancouver,V7N 3X4,604-981-0026,604-983-3507
